Remote,Booth,Station,Line Name,Division
R379,J012,KOSCIUSZKO ST,J,BMT
R380,J013,GATES AVE,JZ,BMT
R381,J016,HALSEY ST,J,BMT
R382,N129,GRANT AVE,A,IND
R383,N131,HUDSON-80 ST,A,IND
R383,N130,HUDSON-80 ST,A,IND
R384,N133,BOYD-88 ST,A,IND
R385,N134,ROCKAWAY BLVD,A,IND
R385,N135,ROCKAWAY BLVD,A,IND
R386,R322,174 ST,25,IRT
R386,R321,174 ST,25,IRT
R387,R323,E TREMONT AVE,25,IRT
R387,R323A,E TREMONT AVE,25,IRT
R388,R325,E 180 ST,25,IRT
R389,R326,BRONX PARK EAST,25,IRT
R390,D002,8 AVE,N,BMT
R391,D003,FT HAMILTON PKY,N,BMT
R391,D004,FT HAMILTON PKY,N,BMT
R392,D008,18 AVE,N,BMT
R393,D009,20 AVE,N,BMT
R394,D010,BAY PKY-22 AVE,N,BMT
R394,D011,BAY PKY-22 AVE,N,BMT
R395,D012,KINGS HIGHWAY,N,BMT
R396,D015,AVE U,N,BMT
R397,D016,86 ST,N,BMT
R398,D005,NEW UTRECHT AVE,ND,BMT
R398,D006,NEW UTRECHT AVE,ND,BMT
R399,E015,25 AVE,D,BMT
R400,E016,BAY 50 ST,D,BMT
R401,K017,CENTRAL AVE,M,BMT
R402,K022,SENECA AVE,M,BMT
R403,K024,FOREST AVE,M,BMT
R404,K025,FRESH POND ROAD,M,BMT
R405,R312,JACKSON AVE,25,IRT
R406,R314,PROSPECT AVE,25,IRT
R406,R315,PROSPECT AVE,25,IRT
R407,R316,INTERVALE-163,25,IRT
R408,R318,SIMPSON ST,25,IRT
R408,R317,SIMPSON ST,25,IRT
R409,R320,FREEMAN ST,25,IRT
R409,R319,FREEMAN ST,25,IRT
R410,X001,NYC & CO - 7 AV,1,IRT
R411,B009,PARK PLACE,S,BMT
R412,B010,BOTANIC GARDEN,S2345,BMT
R413,K019,KNICKERBOCKER,M,BMT
R414,N182,HOWARD BCH-JFK,A,IND
R414,N182A,HOWARD BCH-JFK,A,IND
R415,N183,BROAD CHANNEL,AS,IND
R416,N184,BEACH 90 ST,AS,IND
R417,N185,BEACH 98 ST,AS,IND
R418,N186,BEACH 105 ST,AS,IND
R419,N187,ROCKAWAY PK 116,AS,IND
R420,N548,DITMAS AVE,F,IND
R420,N547,DITMAS AVE,F,IND
R421,N551,AVE I,F,IND
R422,N553,22 AVE-BAY PKY,F,IND
R423,N555,AVE N,F,IND
R423,N554,AVE N,F,IND
R424,N556,AVE P,F,IND
R425,N559,AVE U,F,IND
R426,N562,NEPTUNE AVE,F,IND
R427,R421,MIDDLETOWN ROAD,6,IRT
R428,R422,BUHRE AVE,6,IRT
R429,R423,PELHAM BAY PARK,6,IRT
R430,R727,PELHAM PARKWAY,5,IRT
R431,R730,DYRE AVE,5,IRT
R432,J017,CHAUNCEY ST,JZ,BMT
R433,J020,ALABAMA AVE,J,BMT
R434,J021,VAN SICLEN AVE,JZ,BMT
R435,J022,CLEVELAND ST,J,BMT
R436,J023,NORWOOD AVE,JZ,BMT
R437,J024,CRESCENT ST,JZ,BMT
R438,N121B,RALPH AVE,C,IND
R439,N122,ROCKAWAY AVE,C,IND
R439,N123B,ROCKAWAY AVE,C,IND
R440,N125,LIBERTY AVE,C,IND
R441,N126,VAN SICLEN AVE,C,IND
R442,N127,SHEPHERD AVE,C,IND
R443,N209,170 ST,BD,IND
R443,N208,170 ST,BD,IND
R444,R335,NEREID AVE,25,IRT
R445,R401,138 ST-3 AVE,6,IRT
R446,R402,BROOK AVE,6,IRT
R446,R403,BROOK AVE,6,IRT
R447,R404,CYPRESS AVE,6,IRT
R447,R405,CYPRESS AVE,6,IRT
R448,R406,E 143 ST,6,IRT
R448,R407,E 143 ST,6,IRT
R449,R408,E 149 ST,6,IRT
R449,R409,E 149 ST,6,IRT
R450,R410,LONGWOOD AVE,6,IRT
R450,R411,LONGWOOD AVE,6,IRT
R451,R637,WINTHROP ST,25,IRT
R452,R161B,72 ST,123,IRT
R452,R161A,72 ST,123,IRT
R453,N508,23 ST-6 AVE,FM,IND
R454,C015,PROSPECT AVE,R,BMT
R455,C017,25 ST,R,BMT
R456,R605,HOYT ST,23,IRT
R457,MCB1,METROCARD BUS 1,23,BMT
R458,MCB2,METROCARD BUS 2,23,BMT
R459,OB01,ORCHARD BEACH,6,IND
R460,J002,MARCY AVE,JMZ,BMT
R460,J001,MARCY AVE,JMZ,BMT
R461,N519,BROADWAY/LAFAY,BDFQ6,IND
R461,N519A,BROADWAY/LAFAY,BDFQ6,IND
R462,A043,CANAL ST,JNQRZ6,BMT
R462,A044,CANAL ST,JNQRZ6,BMT
R463,A046,CANAL ST,JNQRZ6,BMT
R463,R214,CANAL ST,JNQRZ6,IRT
R464,N181A,AQUEDUCT TRACK,A,IND
R465,MCV1,METROCARD VAN-1,1,BMT
R466,MCV2,METROCARD VAN-2,1,BMT
R467,MCV3,METROCARD VAN-3,1,BMT
R468,TRAM1,RIT-MANHATTAN,R,RIT
R469,TRAM2,RIT-ROOSEVELT,R,RIT
R470,X002,ELTINGVILLE PK,Z,SRT
R526,LI001,LIB-HEMPSTEAD,F,LIB
R532,WCCTR,WEST COUNTY CTR,5,BEE
R535,JFK01,JFK HOWARD BCH,A,IND
R535,JFK02,JFK HOWARD BCH,A,IND
R536,JFK03,JFK JAMAICA CT1,E,IND
R537,JFK04,JFK JAMAICA CT2,E,IND
R538,LGA01,LGA AIRPORT CTB,7,IRT
R540,PTH08,PATH WTC,1,PTH
R540,PTH21,PATH WTC 2,1,PTH
R541,PTH13,THIRTY ST,1,PTH
R541,PTH17,THIRTY THIRD ST,1,PTH
R542,PTH12,TWENTY THIRD ST,1,PTH
R543,PTH05,EXCHANGE PLACE,1,PTH
R544,PTH02,HARRISON,1,PTH
R545,PTH11,14TH STREET,1,PTH
R546,PTH06,PAVONIA/NEWPORT,1,PTH
R547,PTH10,9TH STREET,1,PTH
R548,PTH09,CHRISTOPHER ST,1,PTH
R549,PTH01,NEWARK HW BMEBE,1,PTH
R549,PTH18,NEWARK BM BW,1,PTH
R549,PTH19,NEWARK C,1,PTH
R549,PTH20,NEWARK HM HE,1,PTH
R550,PTH07,CITY / BUS,1,PTH
R550,PTH16,LACKAWANNA,1,PTH
R551,PTH04,GROVE STREET,1,PTH
R552,PTH03,JOURNAL SQUARE,1,PTH
